tile_name, IGNEOUS,METAMORPHIC, MINERAL,SEDIMENTARY
HU2648,0,0,0,32.98
HU2649,0,0,0,26.06
HU2650,0,0,0,25.21
HU2651,0,0,0,61.29
HU2652,0,0,0,100
HU2653,0,0,0,100
HU2654,0.95,0,0,24.05
HU2655,1.84,0,0,4.05
HU2656,1.69,1.2,0,22.1
HU2657,0,16.49,0,0.17
HU2658,0.14,11.18,0,0
HU2659,0,3.36,0,0
HU2675,0.04,0.29,0,0
HU2676,0,0.16,0,0
HU2677,1.52,1.36,0,0
HU2678,22.12,2.88,0,0
HU2679,50,0,0,0
HU2680,100,0,0,0
HU2681,100,0,0,0
HU2682,25,0,0,0
HU2683,3,0,0,0
HU2684,7.44,0,0,0
HU2685,4.48,0,0,0
HU2741,0.5,0,0,0
HU2742,6.52,0,0,0
HU2743,17.46,0,0,0
HU2744,5.86,1.13,0,0
HU2745,13.86,0.42,0,0
HU2746,9.67,0,0,11.76
HU2747,0.11,0,0,2.4
HU2748,0.33,0,0,6.46
HU2749,0,0,0,28.91
HU2750,0,0,0,66.15
HU2751,0,0,0,100
HU2752,0,0,0,100
HU2753,0,0,0,100
HU2754,0,0,0,100
HU2755,1.5,0,0,4.75
HU2756,2.04,0,0,17.96
HU2757,0.09,10.89,0,3.3
HU2758,0.08,21.82,0,0
HU2759,0,7.55,0,0
HU2760,0,0.05,0,0
HU2774,0.08,1.12,0,0
HU2775,0.06,1.6,0,0
HU2776,0.03,2.1,0,0
HU2777,0.14,1.05,0,0
HU2778,14.72,1.95,0,0
HU2779,33.33,0,0,0
HU2780,33.33,0,0,0
HU2781,33.33,0,0,0
HU2782,4.32,0,0,0
HU2783,1.58,0,0,0
HU2784,2.44,0,0,0
HU2785,0.25,0,0,0
HU2841,0.93,0,0,0
HU2842,7.16,0.22,0,0
HU2843,33.19,0.14,0,0
HU2844,33.33,0,0,0
HU2845,33.33,0,0,0
HU2846,13.54,0,0,5.21
HU2847,0.16,0,0,23.01
HU2848,0,0,0,51.62
HU2849,0,0,0,65.23
HU2850,0,0,0,100
HU2851,0,0,0,100
HU2852,0,0,0,100
HU2853,0,0,0,100
HU2854,0,0,0,27.18
HU2855,0.52,0,0,9.13
HU2856,1.69,0.57,0,2.91
HU2857,0.33,3.3,0,1.61
HU2858,0.03,1.89,0,0
HU2859,0.1,1.68,0,0
HU2860,0.19,4.36,0,0
HU2861,0.12,8.99,0,0
HU2862,0,0.05,0,0
HU2865,0.13,0,0,0
HU2874,0,0.55,0,0
HU2875,0.04,1.68,0,0
HU2876,0.08,3.13,0,0
HU2877,0.06,5.66,0,0
HU2878,11.71,8.29,0,0
HU2879,20,0,0,0
HU2880,33.33,0,0,0
HU2881,10.73,0,0,0
HU2882,5.12,0,0,0
HU2883,19.45,0,0,0
HU2884,22.22,0,0,0
HU2885,2.48,0,0,0
HU2886,0.41,0,0,0
HU2940,1.01,0.07,0,0
HU2941,2.46,0,0,0
HU2942,15.33,0,0,0
HU2943,16.67,0,0,0
HU2944,14.87,0,0,1.8
HU2945,25,0,0,0
HU2946,38.47,0,0,11.53
HU2947,0,0,0,100
HU2948,0,0,0,56.39
HU2949,0,0,0,100
HU2950,0,0,0,100
HU2951,0,0,0,100
HU2952,0,0,0,100
HU2953,0.23,0,0,49.77
HU2954,0,0,0,27.43
HU2955,0.07,0,0,11.94
HU2956,2.35,0.9,0,3.28
HU2957,1.38,3.19,0,0.52
HU2958,0.11,1.71,0,1.15
HU2959,0.27,4.84,0,0
HU2960,2.87,3.14,0,0
HU2961,6.96,4.69,0,0
HU2962,0.06,0.31,0,0
HU2963,1.2,0,0,0
HU2964,3.64,0,0,0
HU2965,2.71,0,0,0
HU2966,0.23,0,0,0
HU2971,0.39,0,0,0
HU2972,0.6,0,0,0
HU2973,0.98,0,0,0
HU2974,3.49,0,0,0
HU2975,6.07,0,0,0
HU2976,3.01,0,0,0
HU2977,2.09,0.19,0,0
HU2978,13.45,0.11,0,0
HU2979,25,0,0,0
HU2980,10.4,0,0,0
HU2981,21.13,0,0,0
HU2982,65.57,0,0,0
HU2983,100,0,0,0
HU2984,100,0,0,0
HU2985,21.62,0,0,0
HU2986,14.73,0,0,0
HU2987,0.64,0,0,0
HU3040,4.63,0.41,0,0
HU3041,10.12,0.09,0,0
HU3042,12.93,0.14,0,0
HU3043,18.93,0,0,0
HU3044,16.67,0,0,0
HU3045,19.53,0,0,0.47
HU3046,9.23,0,0,40.77
HU3047,0,0,0,100
HU3048,0,0,0,100
HU3049,0,0,0,100
HU3050,0,0,0,100
HU3051,0,0,0,100
HU3052,0,0,0,100
HU3053,0,0,0,100
HU3054,0,0,0,100
HU3055,0,0,0,100
HU3056,0.13,0,0,21.75
HU3057,1.06,0,0,3.53
HU3058,0.25,0,0,4.93
HU3059,0.11,1.76,0,2.61
HU3060,2.54,2.35,0,0
HU3061,0.36,0,0,0
HU3062,1.78,0,0,0
HU3063,7.48,0,0,0
HU3064,25,0,0,0
HU3065,15.24,0,0,0
HU3066,5.84,0.05,0,0
HU3067,1.24,0,0,0
HU3070,6,0,0,0
HU3071,15.05,0,0,0
HU3072,5.5,0,0,0
HU3073,2.46,0,0,0
HU3074,10.12,0,0,0
HU3075,34.56,0,0,0
HU3076,7.4,0,0,0
HU3077,16.67,0,0,0
HU3078,21.99,0,0,0
HU3079,16.67,0,0,0
HU3080,2.98,0,0,0
HU3081,12.5,0,0,0
HU3082,33.17,0.17,0,0
HU3083,100,0,0,0
HU3084,100,0,0,0
HU3085,100,0,0,0
HU3086,20,0,0,0
HU3087,4.86,0,0,0
HU3088,0.11,0,0,0
HU3089,10.87,0,0,0
HU3090,1.24,0,0,0
HU3091,0.02,0.01,0,0
HU3092,0.05,0.25,0,0
HU3093,0.01,0.15,0,0
HU3140,0.17,0,0,0
HU3142,2.66,0,0,0
HU3143,14.09,0,0,0
HU3144,8.62,0,0,0.65
HU3145,8.44,0,0,6.89
HU3146,3.77,0,0,46.23
HU3147,9.9,0,0,40.1
HU3148,30.95,0,0,19.05
HU3149,24.95,0,0,25.05
HU3150,17.3,0,0,32.7
HU3151,7.04,0,0,26.29
HU3152,0.44,0,0,16.69
HU3153,0.17,0,0,49.83
HU3154,0.52,0,0,49.48
HU3155,0.42,0,0,49.58
HU3156,0,0,0,100
HU3157,0,0,0,33.33
HU3158,0.9,0,0,10.76
HU3159,0.19,1.77,0,3.83
HU3160,0.13,1.99,0,0
HU3161,0.1,0,0,0
HU3162,2.53,0,0,0
HU3163,12.28,0.22,0,0
HU3164,12.5,0,0,0
HU3165,12.5,0,0,0
HU3166,11.11,0,0,0
HU3167,1.78,0,0,0
HU3169,1.56,0.21,0,0
HU3170,10.78,0,0,0
HU3171,25,0,0,0
HU3172,14.29,0,0,0
HU3173,12.67,0,0,0
HU3174,13.65,0,0,0
HU3175,50,0,0,0
HU3176,27.59,0,0,0
HU3177,33.33,0,0,0
HU3178,50,0,0,0
HU3179,14.27,0.01,0,0
HU3180,4.83,2.09,0,0
HU3181,3.18,1.95,0,0
HU3182,7.13,3.99,0,0
HU3183,25,0,0,0
HU3184,25,0,0,0
HU3185,25,0,0,0
HU3186,12.5,0,0,0
HU3187,13.2,0,0,0
HU3188,16.93,0,0,0
HU3189,16.67,0,0,0
HU3190,3,3.66,0,0
HU3191,0.08,1.91,0,0
HU3192,0.06,1.71,0,0
HU3193,0.07,1,0,0
HU3241,0,0,0,0.01
HU3242,0.53,0,0,2.38
HU3243,3.97,0,0,5.54
HU3244,17.12,0,0,4.98
HU3245,33.23,0.11,0,0
HU3246,33.04,0,0,0.29
HU3247,33.33,0,0,0
HU3248,47.69,0,0,2.31
HU3249,35.23,0,0,14.77
HU3250,9.58,0,0,7.09
HU3251,5.68,0,0,5.39
HU3252,0.6,0,0,4.89
HU3253,0,0,0,100
HU3254,0,0,0,100
HU3255,0,0,0,100
HU3256,0,0,0,100
HU3257,0,0,0,100
HU3258,2.81,0,0,11.48
HU3259,1.94,0.02,0,2.15
HU3260,0,0,0,0.41
HU3261,0,0,0,0
HU3262,2.97,0,0,0
HU3263,14.21,0.07,0,0
HU3264,16.67,0,0,0
HU3265,7.07,0.07,0,0
HU3266,8.48,0.03,0,0
HU3267,5.82,0,0,0
HU3268,3.2,0,0,0
HU3269,4.93,0.01,0,0
HU3270,6.75,0,0,0
HU3271,25,0,0,0
HU3272,25,0,0,0
HU3273,25,0,0,0
HU3274,20,0,0,0
HU3275,50,0,0,0
HU3276,16.67,0,0,0
HU3277,25,0,0,0
HU3278,21.86,3.14,0,0
HU3279,11.82,13.18,0,0
HU3280,1.56,3.82,0,0
HU3281,0.15,6.85,0,0
HU3282,8.02,6.27,0,0
HU3283,100,0,0,0
HU3284,100,0,0,0
HU3285,33.33,0,0,0
HU3286,16.67,0,0,0
HU3287,14.29,0,0,0
HU3288,14.29,0,0,0
HU3289,8.33,0,0,0
HU3290,1.97,6.36,0,0
HU3291,0.13,14.15,0,0
HU3292,0.06,2.07,0,0
HU3343,0,0,0,0.58
HU3344,0.74,0,0,2.56
HU3345,1.14,0.34,0,0
HU3346,2.14,1.76,0,0
HU3347,2.59,4.72,0,1.07
HU3348,0.43,7.16,0,7.26
HU3349,3.8,4.86,0,5.63
HU3350,3.81,0.13,0,6.38
HU3351,3.82,0,0,5.9
HU3352,7.32,1.13,0,19.98
HU3353,0.12,5.93,0,18.94
HU3354,2.49,3.06,0,27.79
HU3355,4.69,0,0,45.31
HU3356,0.26,0.02,0,14
HU3357,0,3.44,0,24.91
HU3358,0.01,2.65,0,6.68
HU3359,0.58,0.3,0,1.6
HU3360,0.47,0.4,0,5.05
HU3361,0.08,2.83,0,1.56
HU3362,0.08,1.8,0,0
HU3363,5.36,0.33,0,0
HU3364,8.68,1.32,0,0
HU3365,8.49,2.62,0,0
HU3366,2.61,1.82,0,0
HU3367,5.45,2.88,0,0
HU3368,15.15,0,0,0
HU3369,5.34,0.35,0,0
HU3370,9.56,0,0,0
HU3371,33.33,0,0,0
HU3372,33.33,0,0,0
HU3373,23.8,1.2,0,0
HU3374,12.77,1.52,0,0
