"","tile_name","percent","Depth"
"737","NH6741",25,"Deep"
"738","NH6742",8.33,"Deep"
"739","NH6744",20,"Deep"
"740","NH6750",1.34,"Deep"
"741","NH6751",2.29,"Deep"
"742","NH6758",16,"Deep"
"743","NH6759",9.6,"Deep"
"744","NH6760",33,"Deep"
"745","NH6761",50,"Deep"
"746","NH6763",33.33,"Deep"
"747","NH6770",8.33,"Deep"
"748","NH6771",9.8,"Deep"
"749","NH6777",4.05,"Deep"
"750","NH6778",6.5,"Deep"
"751","NH6780",4.55,"Deep"
"752","NH6834",1.56,"Deep"
"753","NH6835",4.16,"Deep"
"754","NH6842",13.29,"Deep"
"755","NH6844",50,"Deep"
"756","NH6845",2.78,"Deep"
"757","NH6850",1,"Deep"
"758","NH6857",16.67,"Deep"
"759","NH6859",7,"Deep"
"760","NH6860",50,"Deep"
"761","NH6861",50,"Deep"
"762","NH6865",25,"Deep"
"763","NH6869",12.5,"Deep"
"764","NH6873",6.31,"Deep"
"765","NH6879",11.57,"Deep"
"766","NH6887",4.1,"Deep"
"767","NH6941",25,"Deep"
"768","NH6942",16,"Deep"
"769","NH6943",24.75,"Deep"
"770","NH6944",25,"Deep"
"771","NH6945",4,"Deep"
"772","NH6946",5.77,"Deep"
"773","NH6953",3.33,"Deep"
"774","NH6955",3,"Deep"
"775","NH6960",12.38,"Deep"
"776","NH6961",33.33,"Deep"
"777","NH6962",33.33,"Deep"
"778","NH6964",5.55,"Deep"
"779","NH6968",3.29,"Deep"
"780","NH6969",12.5,"Deep"
"781","NH6983",33.33,"Deep"
"782","NH6985",7.46,"Deep"
"783","NH7036",2.36,"Deep"
"784","NH7037",2.36,"Deep"
