"","tile_name","Canal","River_length"
"884","HU5399",0,1284
"885","HU5440",0,476
"886","HU5461",0,543
"887","HU5462",0,1224
"888","HU5463",0,492
"889","HU5464",0,375
"890","HU5496",0,593
"891","HU5497",0,728
"892","HU5499",0,683
"893","HU5562",0,812
"894","HU5563",0,0
"895","HU5564",0,871
"896","HU5661",0,144
"897","HU5662",0,696
"898","HU5663",0,172
"899","HU5664",0,223
"900","HU5665",0,1401
"901","HU5762",0,589
"902","HU5763",0,9
"903","HU5764",0,1245
"904","HU5765",0,688
"905","HU5766",0,498
"906","HU5863",0,132
"907","HU5864",0,73
"908","HU5892",0,1067
"909","HU5966",0,619
"910","HU5967",0,200
"911","HU6066",0,39
"912","HU6067",0,50
"913","HU6090",0,395
"914","HU6091",0,641
"915","HU6190",0,445
"916","HU6290",0,615
"917","HU6291",0,1272
"918","HU6389",0,469
"919","HU6390",0,197
"920","HU6392",0,718
"921","HU6393",0,387
"922","HU6489",0,16
"923","HU6490",0,1554
"924","HU6491",0,550
"925","HU6492",0,825
"926","HU6589",0,0
"927","HU6689",0,499
"928","HY2000",0,2336
"929","HY2001",0,1374
"930","HY2002",0,99
"931","HY2004",0,511
"932","HY2101",0,147
"933","HY2102",0,904
"934","HY2104",0,583
"935","HY2105",0,796
"936","HY2112",0,417
"937","HY2200",0,1105
"938","HY2203",0,452
"939","HY2212",0,1938
"940","HY2224",0,84
"941","HY2300",0,1388
"942","HY2301",0,80
"943","HY2303",0,1823
"944","HY2304",0,89
"945","HY2310",0,49
"946","HY2315",0,909
"947","HY2318",0,752
"948","HY2323",0,382
"949","HY2324",0,2001
"950","HY2401",0,787
"951","HY2402",0,1515
"952","HY2403",0,182
"953","HY2410",0,1353
"954","HY2411",0,91
"955","HY2412",0,1347
"956","HY2413",0,182
"957","HY2414",0,760
"958","HY2415",0,340
"959","HY2416",0,173
"960","HY2417",0,1002
"961","HY2418",0,0
"962","HY2420",0,86
"963","HY2427",0,386
"964","HY2505",0,422
"965","HY2508",0,1009
"966","HY2509",0,927
"967","HY2510",0,858
"968","HY2511",0,375
"969","HY2512",0,2660
"970","HY2513",0,133
"971","HY2514",0,478
"972","HY2517",0,452
"973","HY2519",0,557
"974","HY2520",0,618
"975","HY2521",0,787
"976","HY2522",0,1446
"977","HY2523",0,394
"978","HY2524",0,378
"979","HY2526",0,0
"980","HY2527",0,897
"981","HY2605",0,405
"982","HY2609",0,567
"983","HY2610",0,657
"984","HY2611",0,838
"985","HY2612",0,1066
"986","HY2614",0,0
"987","HY2615",0,332
"988","HY2616",0,248
"989","HY2617",0,1230
"990","HY2619",0,1010
"991","HY2620",0,570
"992","HY2621",0,794
"993","HY2622",0,390
"994","HY2623",0,1303
"995","HY2624",0,154
"996","HY2625",0,0
"997","HY2626",0,0
"998","HY2710",0,56
"999","HY2711",0,0
"1000","HY2712",0,0
"1001","HY2713",0,0
"1002","HY2714",0,70
"1003","HY2715",0,1063
"1004","HY2717",0,403
"1005","HY2718",0,214
"1006","HY2719",0,1010
"1007","HY2720",0,743
"1008","HY2721",0,2932
"1009","HY2722",0,1616
"1010","HY2723",0,1180
"1011","HY2724",0,248
"1012","HY2725",0,0
"1013","HY2810",0,468
"1014","HY2811",0,1442
"1015","HY2812",0,0
"1016","HY2813",0,0
"1017","HY2815",0,0
"1018","HY2817",0,0
"1019","HY2818",0,0
"1020","HY2819",0,1465
"1021","HY2820",0,2488
"1022","HY2821",0,1837
"1023","HY2822",0,251
"1024","HY2824",0,1379
"1025","HY2825",0,1642
"1026","HY2827",0,671
"1027","HY2828",0,106
"1028","HY2829",0,383
"1029","HY2906",0,2097
"1030","HY2907",0,1090
"1031","HY2908",0,418
"1032","HY2909",0,1242
"1033","HY2910",0,64
"1034","HY2911",0,7
"1035","HY2912",0,0
"1036","HY2914",0,0
"1037","HY2915",0,0
"1038","HY2916",0,89
"1039","HY2917",0,0
"1040","HY2918",0,291
"1041","HY2919",0,720
"1042","HY2920",0,267
"1043","HY2921",0,438
"1044","HY2922",0,236
"1045","HY2924",0,1066
"1046","HY2925",0,1442
"1047","HY2926",0,0
"1048","HY2927",0,850
"1049","HY2929",0,1238
"1050","HY3004",0,1265
"1051","HY3005",0,892
"1052","HY3006",0,1831
"1053","HY3007",0,667
"1054","HY3008",0,1385
"1055","HY3009",0,836
"1056","HY3010",0,153
"1057","HY3011",0,1431
"1058","HY3012",0,0
"1059","HY3013",0,0
"1060","HY3014",0,0
"1061","HY3015",0,54
"1062","HY3016",0,1911
"1063","HY3017",0,453
"1064","HY3018",0,1056
"1065","HY3019",0,649
"1066","HY3021",0,160
"1067","HY3022",0,1002
"1068","HY3023",0,1056
"1069","HY3024",0,1609
"1070","HY3025",0,516
"1071","HY3026",0,500
"1072","HY3028",0,0
"1073","HY3029",0,551
"1074","HY3105",0,2787
"1075","HY3107",0,977
"1076","HY3108",0,3116
"1077","HY3109",0,156
"1078","HY3110",0,774
"1079","HY3111",0,2118
"1080","HY3112",0,1429
"1081","HY3114",0,2341
"1082","HY3115",0,187
"1083","HY3116",0,1096
"1084","HY3117",0,1126
"1085","HY3118",0,706
"1086","HY3119",0,1238
"1087","HY3121",0,981
"1088","HY3122",0,778
"1089","HY3123",0,1578
"1090","HY3124",0,39
"1091","HY3126",0,143
"1092","HY3127",0,53
"1093","HY3128",0,0
"1094","HY3204",0,279
"1095","HY3205",0,310
"1096","HY3206",0,309
"1097","HY3207",0,296
"1098","HY3208",0,1318
"1099","HY3210",0,2275
"1100","HY3211",0,1687
"1101","HY3212",0,1800
"1102","HY3213",0,642
"1103","HY3214",0,1415
"1104","HY3215",0,505
"1105","HY3217",0,1194
"1106","HY3218",0,1071
"1107","HY3219",0,1366
"1108","HY3222",0,2078
"1109","HY3223",0,961
"1110","HY3226",0,1068
"1111","HY3304",0,1623
"1112","HY3305",0,2092
"1113","HY3306",0,757
"1114","HY3307",0,201
"1115","HY3308",0,114
"1116","HY3310",0,417
"1117","HY3311",0,1729
"1118","HY3312",0,2307
"1119","HY3313",0,374
