"","tile_name","HF"
"1098","NA9923",4
"1099","NA9925",2
"1100","NA9926",1
"1101","NA9928",1
"1102","NB0022",1
"1103","NB0023",1
"1104","NB0025",1
"1105","NB0028",1
"1106","NB0030",2
"1107","NB0031",1
"1108","NB0109",2
"1109","NB0113",1
"1110","NB0119",1
"1111","NB0122",1
"1112","NB0123",1
"1113","NB0125",2
"1114","NB0129",1
"1115","NB0201",1
"1116","NB0208",2
"1117","NB0218",1
"1118","NB0219",1
"1119","NB0220",1
"1120","NB0222",3
"1121","NB0229",1
"1122","NB0234",1
"1123","NB0308",2
"1124","NB0309",1
"1125","NB0311",1
"1126","NB0319",1
"1127","NB0320",2
"1128","NB0321",7
"1129","NB0322",1
"1130","NB0324",1
"1131","NB0327",1
"1132","NB0328",2
"1133","NB0329",2
"1134","NB0330",2
"1135","NB0331",6
"1136","NB0332",1
"1137","NB0333",1
"1138","NB0334",1
"1139","NB0336",1
"1140","NB0407",3
"1141","NB0408",3
"1142","NB0410",3
"1143","NB0414",1
"1144","NB0418",2
"1145","NB0419",1
"1146","NB0420",2
"1147","NB0421",1
"1148","NB0425",1
"1149","NB0433",4
"1150","NB0434",1
"1151","NB0435",1
"1152","NB0436",3
"1153","NB0508",1
"1154","NB0512",1
"1155","NB0513",4
"1156","NB0515",1
"1157","NB0516",1
"1158","NB0520",3
"1159","NB0522",3
"1160","NB0526",2
"1161","NB0528",1
"1162","NB0532",1
"1163","NB0533",7
"1164","NB0534",1
"1165","NB0536",2
"1166","NB0538",1
"1167","NB0615",1
"1168","NB0617",1
"1169","NB0620",2
"1170","NB0625",2
"1171","NB0626",4
"1172","NB0629",2
"1173","NB0633",1
"1174","NB0634",2
"1175","NB0710",1
"1176","NB0711",2
"1177","NB0712",1
"1178","NB0714",1
"1179","NB0716",1
"1180","NB0719",1
"1181","NB0720",1
"1182","NB0722",2
"1183","NB0723",1
"1184","NB0725",3
"1185","NB0734",1
"1186","NB0805",1
"1187","NB0807",1
"1188","NB0808",1
"1189","NB0813",1
"1190","NB0814",2
"1191","NB0819",1
"1192","NB0820",2
"1193","NB0821",1
"1194","NB0824",1
"1195","NB0829",1
"1196","NB0831",1
"1197","NB0836",2
"1198","NB0905",1
"1199","NB0908",1
"1200","NB0910",1
"1201","NB0920",2
"1202","NB0921",1
"1203","NB0924",1
"1204","NB0930",1
"1205","NB0933",3
"1206","NB0935",1
"1207","NB1006",2
"1208","NB1007",2
"1209","NB1009",1
"1210","NB1011",1
"1211","NB1012",2
"1212","NB1013",3
"1213","NB1016",2
"1214","NB1017",6
"1215","NB1018",2
"1216","NB1019",1
"1217","NB1021",1
"1218","NB1022",1
"1219","NB1026",4
"1220","NB1027",1
"1221","NB1031",2
"1222","NB1032",2
"1223","NB1035",2
"1224","NB1036",1
"1225","NB1100",2
"1226","NB1104",2
"1227","NB1105",1
"1228","NB1109",1
"1229","NB1111",1
"1230","NB1116",4
"1231","NB1117",2
"1232","NB1118",2
"1233","NB1121",1
"1234","NB1123",1
"1235","NB1125",1
"1236","NB1126",2
"1237","NB1205",1
"1238","NB1213",1
"1239","NB1215",2
"1240","NB1216",3
"1241","NB1217",1
"1242","NB1218",1
"1243","NB1220",2
"1244","NB1221",3
"1245","NB1224",1
"1246","NB1225",1
"1247","NB1227",1
"1248","NB1228",1
"1249","NB1303",2
"1250","NB1304",5
"1251","NB1305",1
"1252","NB1306",1
"1253","NB1310",1
"1254","NB1314",1
"1255","NB1317",3
"1256","NB1320",1
"1257","NB1321",2
"1258","NB1323",2
"1259","NB1326",2
"1260","NB1327",5
"1261","NB1328",1
"1262","NB1330",2
"1263","NB1400",1
"1264","NB1404",2
"1265","NB1411",4
"1266","NB1412",3
"1267","NB1413",1
"1268","NB1417",9
"1269","NB1418",2
"1270","NB1421",1
"1271","NB1423",1
"1272","NB1425",2
"1273","NB1428",1
"1274","NB1431",1
"1275","NB1436",1
"1276","NB1501",1
"1277","NB1503",3
"1278","NB1504",1
"1279","NB1506",1
"1280","NB1508",1
"1281","NB1512",1
"1282","NB1513",3
"1283","NB1514",2
"1284","NB1517",1
"1285","NB1519",1
"1286","NB1521",1
"1287","NB1532",1
"1288","NB1533",3
"1289","NB1535",1
"1290","NB1600",3
"1291","NB1601",1
"1292","NB1606",1
"1293","NB1607",1
"1294","NB1608",1
"1295","NB1609",2
"1296","NB1611",2
"1297","NB1613",1
"1298","NB1617",2
"1299","NB1621",1
"1300","NB1622",1
"1301","NB1624",1
"1302","NB1626",1
"1303","NB1628",1
"1304","NB1631",1
"1305","NB1633",1
"1306","NB1701",1
"1307","NB1703",1
"1308","NB1705",2
"1309","NB1708",1
"1310","NB1709",4
"1311","NB1710",2
"1312","NB1711",1
"1313","NB1714",1
"1314","NB1715",1
"1315","NB1716",3
"1316","NB1717",2
"1317","NB1718",2
"1318","NB1721",1
"1319","NB1722",1
"1320","NB1723",1
"1321","NB1724",1
"1322","NB1725",1
"1323","NB1730",1
"1324","NB1732",1
"1325","NB1733",1
"1326","NB1735",1
"1327","NB1741",1
"1328","NB1800",2
"1329","NB1801",3
"1330","NB1802",2
"1331","NB1803",1
"1332","NB1805",1
"1333","NB1809",1
"1334","NB1810",1
"1335","NB1813",1
"1336","NB1817",2
"1337","NB1819",2
"1338","NB1822",3
"1339","NB1825",2
"1340","NB1826",2
"1341","NB1832",1
"1342","NB1835",1
"1343","NB1841",3
"1344","NB1902",1
"1345","NB1905",1
"1346","NB1907",3
"1347","NB1910",1
"1348","NB1911",2
"1349","NB1914",3
"1350","NB1915",2
"1351","NB1917",1
"1352","NB1918",1
"1353","NB1920",3
"1354","NB1923",1
"1355","NB1924",1
"1356","NB1925",1
"1357","NB1928",1
"1358","NB1937",2
